n             C(max)        s(max)        T             Iterations    
1             0.001213      0.025280      12069279.500000291           
2             0.002414      0.025280      12069279.499599291           
3             0.003599      0.025280      12069279.498808291           
4             0.004772      0.025280      12069279.497699291           
5             0.005935      0.025280      12069279.496299291           
6             0.007088      0.025280      12069279.494638291           
7             0.008231      0.025280      12069279.492742291           
8             0.009364      0.025280      12069279.490637291           
9             0.010488      0.025280      12069279.488346291           
10            0.011604      0.025280      12069279.485890291           
11            0.012711      0.025280      12069279.483289291           
12            0.013810      0.025280      12069279.480562291           
13            0.014901      0.025280      12069279.477726291           
14            0.015985      0.025280      12069279.474796291           
15            0.017062      0.025280      12069279.471789291           
16            0.018132      0.025280      12069279.468716291           
17            0.019195      0.025280      12069279.465592291           
18            0.020251      0.025280      12069279.462427291           
19            0.021300      0.025280      12069279.459233291           
20            0.022343      0.025280      12069279.456019291           
21            0.023380      0.025280      12069279.452795291           
22            0.024410      0.025280      12069279.449569291           
23            0.025434      0.025280      12069279.446348291           
24            0.026452      0.025280      12069279.443141291           
25            0.027464      0.025280      12069279.439952291           
26            0.028470      0.025280      12069279.436789291           
27            0.029470      0.025280      12069279.433656291           
28            0.030464      0.025280      12069279.430559291           
29            0.031451      0.025280      12069279.427502291           
30            0.032433      0.025280      12069279.424489291           
31            0.033408      0.025280      12069279.421523291           
32            0.034377      0.025280      12069279.418608291           
33            0.035404      0.025280      12069279.415746291           
34            0.036436      0.025280      12069279.412940291           
35            0.037466      0.025280      12069279.410193291           
36            0.038493      0.025280      12069279.407506291           
37            0.039517      0.025280      12069279.404881291           
38            0.040538      0.025280      12069279.402319291           
39            0.041556      0.025280      12069279.399821291           
40            0.042571      0.025280      12069279.397389291           
41            0.043582      0.025280      12069279.395023291           
42            0.044589      0.025280      12069279.392724291           
43            0.045593      0.025280      12069279.390492291           
44            0.046592      0.025280      12069279.388327291           
45            0.047587      0.025280      12069279.386230291           
46            0.048577      0.025280      12069279.384200291           
47            0.049562      0.025280      12069279.382237291           
48            0.050542      0.025280      12069279.380341291           
49            0.051517      0.025280      12069279.378512291           
50            0.052486      0.025280      12069279.376748291           
51            0.053449      0.025280      12069279.375049291           
52            0.054405      0.025280      12069279.373416291           
53            0.055355      0.025280      12069279.371846291           
54            0.056298      0.025280      12069279.370338291           
55            0.057234      0.025280      12069279.368893291           
56            0.058162      0.025280      12069279.367509291           
57            0.059083      0.025280      12069279.366185291           
58            0.059995      0.025280      12069279.364919291           
59            0.060899      0.025280      12069279.363712291           
60            0.061794      0.025280      12069279.362561291           
61            0.062680      0.025280      12069279.361465291           
62            0.063557      0.025280      12069279.360423291           
63            0.064444      0.025280      12069279.359435291           
64            0.065405      0.025280      12069279.358497291           
65            0.066377      0.025280      12069279.357611291           
66            0.067347      0.025280      12069279.356773291           
67            0.068315      0.025280      12069279.355982291           
68            0.069282      0.025280      12069279.355238291           
69            0.070247      0.025280      12069279.354539291           
70            0.071210      0.025280      12069279.353883291           
71            0.072171      0.025280      12069279.353269291           
72            0.073131      0.025280      12069279.352697291           
73            0.074089      0.025280      12069279.352163291           
74            0.075046      0.025280      12069279.351668291           
75            0.076001      0.025280      12069279.351210291           
76            0.076954      0.025280      12069279.350787291           
77            0.077918      0.025280      12069279.350398291           
78            0.078891      0.025280      12069279.350042291           
79            0.079862      0.025280      12069279.349718291           
80            0.080830      0.025280      12069279.349423291           
81            0.081798      0.025280      12069279.349158291           
82            0.082763      0.025280      12069279.348920291           
83            0.083726      0.025280      12069279.348709291           
84            0.084688      0.025280      12069279.348523291           
85            0.085648      0.025280      12069279.348361291           
86            0.086606      0.025280      12069279.348222291           
87            0.087561      0.025280      12069279.348105291           
88            0.088515      0.025280      12069279.348008291           
89            0.089467      0.025280      12069279.347931291           
90            0.090417      0.025280      12069279.347872291           
91            0.091364      0.025280      12069279.347830291           
92            0.092310      0.025280      12069279.347805291           
93            0.093253      0.025280      12069279.347795291           
94            0.094194      0.025280      12069279.347799291           
95            0.095133      0.025280      12069279.347817291           
96            0.096070      0.025280      12069279.347847291           
97            0.097004      0.025280      12069279.347889291           
98            0.097936      0.025280      12069279.347941291           
99            0.098866      0.025280      12069279.348003291           
100           0.099793      0.025280      12069279.348075291           
101           0.100717      0.025280      12069279.348154291           
102           0.101639      0.025280      12069279.348241291           
103           0.102559      0.025280      12069279.348335291           
104           0.103476      0.025280      12069279.348434291           
105           0.104390      0.025280      12069279.348540291           
106           0.105302      0.025280      12069279.348650291           
107           0.106211      0.025280      12069279.348764291           
108           0.107117      0.025280      12069279.348881291           
109           0.108020      0.025280      12069279.349002291           
110           0.108920      0.025280      12069279.349125291           
111           0.109818      0.025280      12069279.349251291           
112           0.110712      0.025280      12069279.349378291           
113           0.111603      0.025280      12069279.349506291           
114           0.112491      0.025280      12069279.349635291           
115           0.113376      0.025280      12069279.349764291           
116           0.114258      0.025280      12069279.349893290           
117           0.115137      0.025280      12069279.350022290           
118           0.116012      0.025280      12069279.350150290           
119           0.116900      0.025280      12069279.350278290           
120           0.117798      0.025280      12069279.350404290           
121           0.118692      0.025280      12069279.350529290           
122           0.119583      0.025280      12069279.350653290           
123           0.120471      0.025280      12069279.350775290           
124           0.121356      0.025280      12069279.350896290           
125           0.122252      0.025280      12069279.351015290           
126           0.123214      0.025280      12069279.351131290           
127           0.124168      0.025280      12069279.351246290           
128           0.125114      0.025280      12069279.351360290           
129           0.126128      0.025280      12069279.351471290           
130           0.127187      0.025280      12069279.351580290           
131           0.128240      0.025280      12069279.351688290           
132           0.129287      0.025280      12069279.351793290           
